Title,Price,Ratings,Reviews
PlayStation®5 (Modellgruppe – Slim),"544,00€",,694 Sternebewertungen
PlayStation®5 Digital-Edition (Modellgruppe – Slim),"449,99€",,231 Sternebewertungen
PlayStation®5 (Digital Edition) Bundle mit zweitem DualSense™ Wireless-Controller,"519,99€",,6 Sternebewertungen
"yeedi Cube Saugroboter mit Wischfunktion Absaugstation Selbstwaschend/Selbsttrocknend/Selbstentleerend, Teppich erkennen, Hindernis vermeiden, 5100 Pa Saugleistung, 5200 mAh Akku","699,99€",,1.548 Sternebewertungen
5€ PlayStation Store Guthaben | PSN Deutsches Konto [Code per Email],"5,00€","4,8 von 5 Sternen",12.693 Sternebewertungen
Playstation 5 Standard Konsole,"605,99€",,22.544 Sternebewertungen
Granblue Fantasy Relink Day One Edition (PlayStation 5),"59,99€","5,0 von 5 Sternen",7 Sternebewertungen
DualSense Wireless-Controller [PlayStation 5 ],"64,99€",,79.574 Sternebewertungen
PlayStation®5 - EA SPORTS™ FC 24 Bundle (Voucher),"655,00€",,1.061 Sternebewertungen
PlayStation®5 Konsole – God of War™ Ragnarök Bundle (Voucher),"599,00€",,2.351 Sternebewertungen
Sony PS5 825GB Digital Edition White EU1,"486,95€",,13 Sternebewertungen
Skull and Bones - Premium Edition - [PlayStation 5],"109,99€",,
"PS5 Gear 5 Sticker, Playstation 5 Manga Aufkleber, Konsole und Controller, Slim Edition Digital, Gear 5 PS5 Skin (1 Controller)","21,90€","4,0 von 5 Sternen",12 Sternebewertungen
100€ PlayStation Store Guthaben | PSN Deutsches Konto [Code per Email],"100,00€","4,7 von 5 Sternen",7.643 Sternebewertungen
"DualSense-Ladestation [PlayStation 5], usb","27,99€","4,8 von 5 Sternen",6.590 Sternebewertungen
PlayStation®5 (Disk) Bundle mit zweitem DualSense™ Wireless-Controller,"609,99€",,
PlayStation®5 – MARVELS´S SPIDER-MAN 2,"641,68€",,105 Sternebewertungen
"Ladestation Ständer Kompatibel mit PS5, PS 5 Charging Dock Lüfter, 3-in-1 Kühlständer Abnehmbarer Headset Vertikaler Cooling Stand Halterung für PS 5 Disc und Digital Edition","29,89€","4,4 von 5 Sternen",98 Sternebewertungen
Stellar Blade,"79,99€",,
PlayStation 5 Console,"629,01€",,54 Sternebewertungen
"HELLCOOL PS5 Controller Ladestation, PS5 Ladestation für Dualsense Wireless/Edge Controller, Ladestation für Playstation 5 Controller, Ladestation PS5 Zubehör mit 2-3 Std Schnelllade/Cooles RGB Licht","21,99€","4,6 von 5 Sternen",380 Sternebewertungen
"GAMSINGY PS5 Controller Ladestation, PS5 Zubehörsets Ladestation für Dualsense Wireless/Edge Controller, Ladestation für Playstation 5 Controller mit 2Std Schnelllade/Cooles RGB Licht","18,69€","4,4 von 5 Sternen",245 Sternebewertungen
"MENEEA Horizontaler Stand für Neue PS5 Slim Konsole mit 4-Port USB Hub, Standfuß Zubehör für 2023 Playstation 5 Slim Disc & Digital Edition, Halter mit 4 USB 2.0 Data Port & Ladeanschluss Erweiterung","24,99€","4,8 von 5 Sternen",35 Sternebewertungen
